We get to the point with an error
BCEZYFDaHIJKM	B	 M	true	 Min:12
BCEZYFDaHIJKM	C	 M	true	 Min:11
BCEZYFDaHIJKM	Z	 M	true	 Min:10
BCEZYFDaHIJKM	D	 M	true	 Min:9
BCEZYFDaHIJKM	E	 M	true	 Min:10
BCEZYFDaHIJKM	"	 M	true	 Min:11
BCEZYFDaHIJKM	!	 M	true	 Min:12
BCEZYFDaHIJKM	Y	 M	true	 Min:13
BCEZYFDaHIJKM	F	 M	true	 Min:12
BCEZYFDaHIJKM	a	 M	true	 Min:11
BCEZYFDaHIJKM	H	 M	true	 Min:10
BCEZYFDaHIJKM	G	 M	true	 Min:11
BCEZYFDaHIJKM	I	 M	true	 Min:10
BCEZYFDaHIJKM	J	 M	true	 Min:9
BCEZYFDaHIJKM	K	 M	true	 Min:8
BCEZYFDaHIJKM	Ã	 M	true	 Min:9
BCEZYFDaHIJKM	§	 M	true	 Min:10
BCEZYFDaHIJKM	M	 M	false	 Min:9
BCEZYFDaHIJKM	L	 M	true	 Min:10
BCEZYFDaHIJKM	Â	 M	true	 Min:11
BCEZYFDaHIJKM	¸	 M	true	 Min:12
BCEZYFDaHIJKM	.	 M	true	 Min:13
BCEZYFDaHIJKM	/	 M	true	 Min:14
BCEZYFDaHIJKM	N	 M	true	 Min:15
BCEZYFDaHIJKM	b	 M	true	 Min:16
BCEZYFDaHIJKM	O	 M	true	 Min:17
BCEZYFDaHIJKM	P	 M	true	 Min:18
BCEZYFDaHIJKM	Q	 M	true	 Min:19
BCEZYFDaHIJKM	R	 M	true	 Min:20
BCEZYFDaHIJKM	c	 M	true	 Min:21
BCEZYFDaHIJKM	S	 M	true	 Min:22
BCEZYFDaHIJKM	T	 M	true	 Min:23
BCEZYFDaHIJKM	U	 M	true	 Min:24
BCEZYFDaHIJKM	V	 M	true	 Min:25
BCEZYFDaHIJKM	Â	 M	true	 Min:26
BCEZYFDaHIJKM	ª	 M	true	 Min:27
BCEZYFDaHIJKM	W	 M	true	 Min:28
BCEZYFDaHIJKM	X	 M	true	 Min:29
BCEZYFDaHIJKML	B	 L	true	 Min:13
BCEZYFDaHIJKML	C	 L	true	 Min:12
BCEZYFDaHIJKML	Z	 L	true	 Min:11
BCEZYFDaHIJKML	D	 L	true	 Min:10
BCEZYFDaHIJKML	E	 L	true	 Min:11
BCEZYFDaHIJKML	"	 L	true	 Min:12
BCEZYFDaHIJKML	!	 L	true	 Min:13
BCEZYFDaHIJKML	Y	 L	true	 Min:14
BCEZYFDaHIJKML	F	 L	true	 Min:13
BCEZYFDaHIJKML	a	 L	true	 Min:12
BCEZYFDaHIJKML	H	 L	true	 Min:11
BCEZYFDaHIJKML	G	 L	true	 Min:12
BCEZYFDaHIJKML	I	 L	true	 Min:11
BCEZYFDaHIJKML	J	 L	true	 Min:10
BCEZYFDaHIJKML	K	 L	true	 Min:9
BCEZYFDaHIJKML	Ã	 L	true	 Min:10
BCEZYFDaHIJKML	§	 L	true	 Min:11
BCEZYFDaHIJKML	M	 L	true	 Min:10
BCEZYFDaHIJKML	L	 L	false	 Min:9
BCEZYFDaHIJKML	Â	 L	true	 Min:10
BCEZYFDaHIJKML	¸	 L	true	 Min:11
BCEZYFDaHIJKML	.	 L	true	 Min:12
BCEZYFDaHIJKML	/	 L	true	 Min:13
BCEZYFDaHIJKML	N	 L	true	 Min:14
BCEZYFDaHIJKML	b	 L	true	 Min:15
BCEZYFDaHIJKML	O	 L	true	 Min:16
BCEZYFDaHIJKML	P	 L	true	 Min:17
BCEZYFDaHIJKML	Q	 L	true	 Min:18
BCEZYFDaHIJKML	R	 L	true	 Min:19
BCEZYFDaHIJKML	c	 L	true	 Min:20
BCEZYFDaHIJKML	S	 L	true	 Min:21
BCEZYFDaHIJKML	T	 L	true	 Min:22
BCEZYFDaHIJKML	U	 L	true	 Min:23
BCEZYFDaHIJKML	V	 L	true	 Min:24
BCEZYFDaHIJKML	Â	 L	true	 Min:25
BCEZYFDaHIJKML	ª	 L	true	 Min:26
BCEZYFDaHIJKML	W	 L	true	 Min:27
BCEZYFDaHIJKML	X	 L	true	 Min:28
BCEZYFDaHIJKMLN	B	 N	true	 Min:14
BCEZYFDaHIJKMLN	C	 N	true	 Min:13
BCEZYFDaHIJKMLN	Z	 N	true	 Min:12
BCEZYFDaHIJKMLN	D	 N	true	 Min:11
BCEZYFDaHIJKMLN	E	 N	true	 Min:12
BCEZYFDaHIJKMLN	"	 N	true	 Min:13
BCEZYFDaHIJKMLN	!	 N	true	 Min:14
BCEZYFDaHIJKMLN	Y	 N	true	 Min:15
BCEZYFDaHIJKMLN	F	 N	true	 Min:14
BCEZYFDaHIJKMLN	a	 N	true	 Min:13
BCEZYFDaHIJKMLN	H	 N	true	 Min:12
BCEZYFDaHIJKMLN	G	 N	true	 Min:13
BCEZYFDaHIJKMLN	I	 N	true	 Min:12
BCEZYFDaHIJKMLN	J	 N	true	 Min:11
BCEZYFDaHIJKMLN	K	 N	true	 Min:10
BCEZYFDaHIJKMLN	Ã	 N	true	 Min:11
BCEZYFDaHIJKMLN	§	 N	true	 Min:12
BCEZYFDaHIJKMLN	M	 N	true	 Min:11
BCEZYFDaHIJKMLN	L	 N	true	 Min:10
BCEZYFDaHIJKMLN	Â	 N	true	 Min:11
BCEZYFDaHIJKMLN	¸	 N	true	 Min:12
BCEZYFDaHIJKMLN	.	 N	true	 Min:13
BCEZYFDaHIJKMLN	/	 N	true	 Min:14
BCEZYFDaHIJKMLN	N	 N	false	 Min:13
BCEZYFDaHIJKMLN	b	 N	true	 Min:14
BCEZYFDaHIJKMLN	O	 N	true	 Min:15
BCEZYFDaHIJKMLN	P	 N	true	 Min:16
BCEZYFDaHIJKMLN	Q	 N	true	 Min:17
BCEZYFDaHIJKMLN	R	 N	true	 Min:18
BCEZYFDaHIJKMLN	c	 N	true	 Min:19
BCEZYFDaHIJKMLN	S	 N	true	 Min:20
BCEZYFDaHIJKMLN	T	 N	true	 Min:21
BCEZYFDaHIJKMLN	U	 N	true	 Min:22
BCEZYFDaHIJKMLN	V	 N	true	 Min:23
BCEZYFDaHIJKMLN	Â	 N	true	 Min:24
BCEZYFDaHIJKMLN	ª	 N	true	 Min:25
BCEZYFDaHIJKMLN	W	 N	true	 Min:26
BCEZYFDaHIJKMLN	X	 N	true	 Min:27
BCEZYFDaHIJKMLNb	B	 b	true	 Min:15
BCEZYFDaHIJKMLNb	C	 b	true	 Min:14
BCEZYFDaHIJKMLNb	Z	 b	true	 Min:13
BCEZYFDaHIJKMLNb	D	 b	true	 Min:12
BCEZYFDaHIJKMLNb	E	 b	true	 Min:13
BCEZYFDaHIJKMLNb	"	 b	true	 Min:14
BCEZYFDaHIJKMLNb	!	 b	true	 Min:15
BCEZYFDaHIJKMLNb	Y	 b	true	 Min:16
BCEZYFDaHIJKMLNb	F	 b	true	 Min:15
BCEZYFDaHIJKMLNb	a	 b	true	 Min:14
BCEZYFDaHIJKMLNb	H	 b	true	 Min:13
BCEZYFDaHIJKMLNb	G	 b	true	 Min:14
BCEZYFDaHIJKMLNb	I	 b	true	 Min:13
BCEZYFDaHIJKMLNb	J	 b	true	 Min:12
BCEZYFDaHIJKMLNb	K	 b	true	 Min:11
BCEZYFDaHIJKMLNb	Ã	 b	true	 Min:12
BCEZYFDaHIJKMLNb	§	 b	true	 Min:13
BCEZYFDaHIJKMLNb	M	 b	true	 Min:12
BCEZYFDaHIJKMLNb	L	 b	true	 Min:11
BCEZYFDaHIJKMLNb	Â	 b	true	 Min:12
BCEZYFDaHIJKMLNb	¸	 b	true	 Min:13
BCEZYFDaHIJKMLNb	.	 b	true	 Min:14
BCEZYFDaHIJKMLNb	/	 b	true	 Min:15
BCEZYFDaHIJKMLNb	N	 b	true	 Min:14
BCEZYFDaHIJKMLNb	b	 b	false	 Min:13
BCEZYFDaHIJKMLNb	O	 b	true	 Min:14
BCEZYFDaHIJKMLNb	P	 b	true	 Min:15
BCEZYFDaHIJKMLNb	Q	 b	true	 Min:16
BCEZYFDaHIJKMLNb	R	 b	true	 Min:17
BCEZYFDaHIJKMLNb	c	 b	true	 Min:18
BCEZYFDaHIJKMLNb	S	 b	true	 Min:19
BCEZYFDaHIJKMLNb	T	 b	true	 Min:20
BCEZYFDaHIJKMLNb	U	 b	true	 Min:21
BCEZYFDaHIJKMLNb	V	 b	true	 Min:22
BCEZYFDaHIJKMLNb	Â	 b	true	 Min:23
BCEZYFDaHIJKMLNb	ª	 b	true	 Min:24
BCEZYFDaHIJKMLNb	W	 b	true	 Min:25
BCEZYFDaHIJKMLNb	X	 b	true	 Min:26
BCEZYFDaHIJKMLNbO	B	 O	true	 Min:16
BCEZYFDaHIJKMLNbO	C	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	Z	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	D	 O	true	 Min:13
BCEZYFDaHIJKMLNbO	E	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	"	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	!	 O	true	 Min:16
BCEZYFDaHIJKMLNbO	Y	 O	true	 Min:17
BCEZYFDaHIJKMLNbO	F	 O	true	 Min:16
BCEZYFDaHIJKMLNbO	a	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	H	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	G	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	I	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	J	 O	true	 Min:13
BCEZYFDaHIJKMLNbO	K	 O	true	 Min:12
BCEZYFDaHIJKMLNbO	Ã	 O	true	 Min:13
BCEZYFDaHIJKMLNbO	§	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	M	 O	true	 Min:13
BCEZYFDaHIJKMLNbO	L	 O	true	 Min:12
BCEZYFDaHIJKMLNbO	Â	 O	true	 Min:13
BCEZYFDaHIJKMLNbO	¸	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	.	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	/	 O	true	 Min:16
BCEZYFDaHIJKMLNbO	N	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	b	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	O	 O	false	 Min:13
BCEZYFDaHIJKMLNbO	P	 O	true	 Min:14
BCEZYFDaHIJKMLNbO	Q	 O	true	 Min:15
BCEZYFDaHIJKMLNbO	R	 O	true	 Min:16
BCEZYFDaHIJKMLNbO	c	 O	true	 Min:17
BCEZYFDaHIJKMLNbO	S	 O	true	 Min:18
BCEZYFDaHIJKMLNbO	T	 O	true	 Min:19
BCEZYFDaHIJKMLNbO	U	 O	true	 Min:20
BCEZYFDaHIJKMLNbO	V	 O	true	 Min:21
BCEZYFDaHIJKMLNbO	Â	 O	true	 Min:22
BCEZYFDaHIJKMLNbO	ª	 O	true	 Min:23
BCEZYFDaHIJKMLNbO	W	 O	true	 Min:24
BCEZYFDaHIJKMLNbO	X	 O	true	 Min:25
BCEZYFDaHIJKMLNbOQ	B	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQ	C	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	Z	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	D	 Q	true	 Min:14
BCEZYFDaHIJKMLNbOQ	E	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	"	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	!	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQ	Y	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQ	F	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQ	a	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	H	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	G	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	I	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	J	 Q	true	 Min:14
BCEZYFDaHIJKMLNbOQ	K	 Q	true	 Min:13
BCEZYFDaHIJKMLNbOQ	Ã	 Q	true	 Min:14
BCEZYFDaHIJKMLNbOQ	§	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	M	 Q	true	 Min:14
BCEZYFDaHIJKMLNbOQ	L	 Q	true	 Min:13
BCEZYFDaHIJKMLNbOQ	Â	 Q	true	 Min:14
BCEZYFDaHIJKMLNbOQ	¸	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	.	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	/	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQ	N	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	b	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	O	 Q	true	 Min:14
BCEZYFDaHIJKMLNbOQ	P	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	Q	 Q	false	 Min:14
BCEZYFDaHIJKMLNbOQ	R	 Q	true	 Min:15
BCEZYFDaHIJKMLNbOQ	c	 Q	true	 Min:16
BCEZYFDaHIJKMLNbOQ	S	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQ	T	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQ	U	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQ	V	 Q	true	 Min:20
BCEZYFDaHIJKMLNbOQ	Â	 Q	true	 Min:21
BCEZYFDaHIJKMLNbOQ	ª	 Q	true	 Min:22
BCEZYFDaHIJKMLNbOQ	W	 Q	true	 Min:23
BCEZYFDaHIJKMLNbOQ	X	 Q	true	 Min:24
BCEZYFDaHIJKMLNbOQR	B	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQR	C	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	Z	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	D	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	E	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	"	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	!	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQR	Y	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQR	F	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQR	a	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	H	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	G	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	I	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	J	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	K	 R	true	 Min:14
BCEZYFDaHIJKMLNbOQR	Ã	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	§	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	M	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	L	 R	true	 Min:14
BCEZYFDaHIJKMLNbOQR	Â	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	¸	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	.	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	/	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQR	N	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	b	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	O	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	P	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	Q	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	R	 R	false	 Min:14
BCEZYFDaHIJKMLNbOQR	c	 R	true	 Min:15
BCEZYFDaHIJKMLNbOQR	S	 R	true	 Min:16
BCEZYFDaHIJKMLNbOQR	T	 R	true	 Min:17
BCEZYFDaHIJKMLNbOQR	U	 R	true	 Min:18
BCEZYFDaHIJKMLNbOQR	V	 R	true	 Min:19
BCEZYFDaHIJKMLNbOQR	Â	 R	true	 Min:20
BCEZYFDaHIJKMLNbOQR	ª	 R	true	 Min:21
BCEZYFDaHIJKMLNbOQR	W	 R	true	 Min:22
BCEZYFDaHIJKMLNbOQR	X	 R	true	 Min:23
BCEZYFDaHIJKMLNbOQRP	B	 P	true	 Min:19
BCEZYFDaHIJKMLNbOQRP	C	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	Z	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	D	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	E	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	"	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	!	 P	true	 Min:19
BCEZYFDaHIJKMLNbOQRP	Y	 P	true	 Min:20
BCEZYFDaHIJKMLNbOQRP	F	 P	true	 Min:19
BCEZYFDaHIJKMLNbOQRP	a	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	H	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	G	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	I	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	J	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	K	 P	true	 Min:15
BCEZYFDaHIJKMLNbOQRP	Ã	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	§	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	M	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	L	 P	true	 Min:15
BCEZYFDaHIJKMLNbOQRP	Â	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	¸	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	.	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	/	 P	true	 Min:19
BCEZYFDaHIJKMLNbOQRP	N	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	b	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	O	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	P	 P	false	 Min:15
BCEZYFDaHIJKMLNbOQRP	Q	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	R	 P	true	 Min:15
BCEZYFDaHIJKMLNbOQRP	c	 P	true	 Min:16
BCEZYFDaHIJKMLNbOQRP	S	 P	true	 Min:17
BCEZYFDaHIJKMLNbOQRP	T	 P	true	 Min:18
BCEZYFDaHIJKMLNbOQRP	U	 P	true	 Min:19
BCEZYFDaHIJKMLNbOQRP	V	 P	true	 Min:20
BCEZYFDaHIJKMLNbOQRP	Â	 P	true	 Min:21
BCEZYFDaHIJKMLNbOQRP	ª	 P	true	 Min:22
BCEZYFDaHIJKMLNbOQRP	W	 P	true	 Min:23
BCEZYFDaHIJKMLNbOQRP	X	 P	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQ	B	 Q	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQ	C	 Q	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQ	Z	 Q	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQ	D	 Q	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQ	E	 Q	true	 Min:18
